turbine_id,cluster_id,score,year,lon,lat,province
COWTD-r1-000048,COWTD-CL-r1-gansu-000001,0.67366230,2023,96.81248889367451,40.98993654364799,gansu
COWTD-r1-000049,COWTD-CL-r1-gansu-000001,0.73873401,2024,96.08345708893467,40.98457947622549,gansu
COWTD-r1-000050,COWTD-CL-r1-gansu-000001,0.79629523,2024,96.8148986487631,40.985205507187096,gansu
COWTD-r1-000051,COWTD-CL-r1-gansu-000001,0.87759441,2022,96.83016384620713,40.983246093886194,gansu
COWTD-r1-000052,COWTD-CL-r1-gansu-000001,0.78596663,2023,96.77817211064394,40.982645673018354,gansu
COWTD-r1-000053,COWTD-CL-r1-gansu-000001,0.65733784,2024,96.6089385470741,40.9825828627314,gansu
COWTD-r1-000054,COWTD-CL-r1-gansu-000001,0.82164294,2024,96.79435434796687,40.983477598730516,gansu
COWTD-r1-000055,COWTD-CL-r1-gansu-000001,0.79615325,2024,96.13542577197221,40.98032461550024,gansu
COWTD-r1-000056,COWTD-CL-r1-gansu-000001,0.81857294,2024,96.60921927710659,40.981433534304735,gansu
COWTD-r1-000057,COWTD-CL-r1-gansu-000001,0.52557147,2023,96.77823977388469,40.981755001948194,gansu
COWTD-r1-000058,COWTD-CL-r1-gansu-000001,0.57471442,2024,96.7938191534631,40.98066422072169,gansu
COWTD-r1-000059,COWTD-CL-r1-gansu-000001,0.80850279,2024,96.68460591761686,40.98053254340602,gansu
COWTD-r1-000060,COWTD-CL-r1-gansu-000001,0.84041101,2021,95.60931025318496,40.959675288769525,gansu
COWTD-r1-000061,COWTD-CL-r1-gansu-000001,0.84955841,2021,95.56330775463721,40.960277528863685,gansu
COWTD-r1-000062,COWTD-CL-r1-gansu-000001,0.36527419,2023,95.57681929987665,40.95946368331157,gansu
COWTD-r1-000063,COWTD-CL-r1-gansu-000001,0.85743594,2021,95.54923414115363,40.958594600485576,gansu
COWTD-r1-000064,COWTD-CL-r1-gansu-000001,0.79187250,2021,95.61668132515022,40.95737972757137,gansu
COWTD-r1-000065,COWTD-CL-r1-gansu-000001,0.78957468,2021,96.38337451908454,40.9598055267755,gansu
COWTD-r1-000066,COWTD-CL-r1-gansu-000001,0.71611083,2023,96.32635400486834,40.96049427319727,gansu
COWTD-r1-000067,COWTD-CL-r1-gansu-000001,0.78622419,2021,96.40473881088836,40.96041303914421,gansu
COWTD-r1-000068,COWTD-CL-r1-gansu-000001,0.75328809,2024,96.77793384751565,40.960665600511,gansu
COWTD-r1-000069,COWTD-CL-r1-gansu-000001,0.77998388,2021,95.5868348033573,40.95631946051842,gansu
COWTD-r1-000070,COWTD-CL-r1-gansu-000001,0.78375953,2024,96.56630927584047,40.95829480048669,gansu
COWTD-r1-000071,COWTD-CL-r1-gansu-000001,0.69624358,2024,96.6976887326018,40.960500543734256,gansu
COWTD-r1-000072,COWTD-CL-r1-gansu-000001,0.10794307,2023,96.31126976444646,40.95874088064165,gansu
COWTD-r1-000073,COWTD-CL-r1-gansu-000001,0.45395872,2021,95.59754547540705,40.955945113887076,gansu
COWTD-r1-000074,COWTD-CL-r1-gansu-000001,0.73559827,2024,96.60201450991735,40.96041664707339,gansu
COWTD-r1-000075,COWTD-CL-r1-gansu-000001,0.81898683,2021,96.370240969336,40.95841250623821,gansu
COWTD-r1-000076,COWTD-CL-r1-gansu-000001,0.73667604,2023,96.21496087862396,40.9561458258371,gansu
COWTD-r1-000077,COWTD-CL-r1-gansu-000001,0.79116315,2023,96.31118757170042,40.955577469914594,gansu
COWTD-r1-000078,COWTD-CL-r1-gansu-000001,0.83716637,2021,96.38401911606705,40.956519274054656,gansu
COWTD-r1-000079,COWTD-CL-r1-gansu-000001,0.77873731,2024,96.08389013073291,40.955400235587526,gansu
COWTD-r1-000080,COWTD-CL-r1-gansu-000001,0.73073083,2021,96.40437991776706,40.95614981875151,gansu
COWTD-r1-000081,COWTD-CL-r1-gansu-000001,0.10535013,2023,97.29720720057229,40.536996317029455,gansu
COWTD-r1-000082,COWTD-CL-r1-gansu-000001,0.73113203,2023,96.27482579575371,40.955698300213584,gansu
COWTD-r1-000083,COWTD-CL-r1-gansu-000001,,2022,96.82976769356172,40.958748256227274,gansu
COWTD-r1-000084,COWTD-CL-r1-gansu-000001,0.71594810,2024,96.72530543486573,40.95841832429918,gansu
COWTD-r1-000085,COWTD-CL-r1-gansu-000001,0.86002350,2024,96.58580485542188,40.95644733433271,gansu
COWTD-r1-000086,COWTD-CL-r1-gansu-000001,0.69011492,2024,96.77787526226892,40.95796578407085,gansu
COWTD-r1-000087,COWTD-CL-r1-gansu-000001,0.81397831,2021,96.37030114190566,40.955398948162184,gansu
COWTD-r1-000088,COWTD-CL-r1-gansu-000001,0.60277343,2024,96.79311187021995,40.95853207136783,gansu
COWTD-r1-000089,COWTD-CL-r1-gansu-000001,0.50759429,2024,96.81394773731881,40.95770213753978,gansu
COWTD-r1-000090,COWTD-CL-r1-gansu-000001,0.26107705,2021,95.60336516755797,40.95252406567045,gansu
COWTD-r1-000091,COWTD-CL-r1-gansu-000001,0.64036268,2021,95.60919731375178,40.95113555601701,gansu
